store_id,model_id,segment,forecast_demand,safety_stock,recommended_inventory,current_inventory,inventory_gap,excess_inventory,shortage_inventory
S01,P001,Budget,187,37,224,207,-17,0,17
S01,P002,Budget,372,74,446,567,121,121,0
S01,P003,Budget,187,37,224,255,31,31,0
S01,P004,Budget,372,74,446,472,26,26,0
S01,P005,Budget,264,53,317,252,-65,0,65
S01,P006,Budget,372,74,446,354,-92,0,92
S01,P007,Budget,372,74,446,328,-118,0,118
S01,P008,Budget,372,74,446,544,98,98,0
S01,P009,Budget,372,74,446,473,27,27,0
S01,P010,Budget,370,74,444,499,55,55,0
S01,P011,Budget,372,74,446,318,-128,0,128
S01,P012,Budget,372,74,446,572,126,126,0
S01,P013,Budget,372,74,446,535,89,89,0
S01,P014,Budget,372,74,446,369,-77,0,77
S01,P015,Budget,372,74,446,361,-85,0,85
S01,P016,Budget,372,74,446,361,-85,0,85
S01,P017,Budget,372,74,446,394,-52,0,52
S01,P018,Budget,372,74,446,453,7,7,0
S01,P019,Budget,372,74,446,428,-18,0,18
S01,P020,Budget,372,74,446,390,-56,0,56
S01,P021,Mid-range,186,37,223,238,15,15,0
S01,P022,Mid-range,375,75,450,353,-97,0,97
S01,P023,Mid-range,184,37,221,193,-28,0,28
S01,P024,Mid-range,372,74,446,410,-36,0,36
S01,P025,Mid-range,187,37,224,218,-6,0,6
S01,P026,Mid-range,375,75,450,527,77,77,0
S01,P027,Mid-range,374,75,449,368,-81,0,81
S01,P028,Mid-range,374,75,449,453,4,4,0
S01,P029,Mid-range,374,75,449,474,25,25,0
S01,P030,Mid-range,372,74,446,325,-121,0,121
S01,P031,Mid-range,373,75,448,477,29,29,0
S01,P032,Mid-range,373,75,448,359,-89,0,89
S01,P033,Mid-range,373,75,448,331,-117,0,117
S01,P034,Mid-range,374,75,449,570,121,121,0
S01,P035,Mid-range,373,75,448,573,125,125,0
S01,P036,Mid-range,374,75,449,532,83,83,0
S01,P037,Mid-range,373,75,448,395,-53,0,53
S01,P038,Mid-range,372,74,446,338,-108,0,108
S01,P039,Mid-range,373,75,448,498,50,50,0
S01,P040,Mid-range,374,75,449,433,-16,0,16
S01,P041,Premium,234,47,281,217,-64,0,64
S01,P042,Premium,255,51,306,305,-1,0,1
S01,P043,Premium,124,25,149,107,-42,0,42
S01,P044,Premium,254,51,305,380,75,75,0
S01,P045,Premium,254,51,305,261,-44,0,44
S01,P046,Premium,256,51,307,337,30,30,0
S01,P047,Premium,255,51,306,271,-35,0,35
S01,P048,Premium,255,51,306,310,4,4,0
S01,P049,Premium,255,51,306,315,9,9,0
S01,P050,Premium,256,51,307,249,-58,0,58
S01,P051,Premium,255,51,306,392,86,86,0
S01,P052,Premium,255,51,306,357,51,51,0
S01,P053,Flagship,68,14,82,104,22,22,0
S01,P054,Flagship,187,37,224,277,53,53,0
S01,P055,Flagship,90,18,108,114,6,6,0
S01,P056,Flagship,187,37,224,281,57,57,0
S01,P057,Flagship,157,31,188,142,-46,0,46
S01,P058,Flagship,187,37,224,183,-41,0,41
S01,P059,Flagship,187,37,224,163,-61,0,61
S01,P060,Flagship,187,37,224,201,-23,0,23
S02,P001,Budget,187,37,224,209,-15,0,15
S02,P002,Budget,372,74,446,385,-61,0,61
S02,P003,Budget,187,37,224,268,44,44,0
S02,P004,Budget,372,74,446,408,-38,0,38
S02,P005,Budget,262,52,314,273,-41,0,41
S02,P006,Budget,372,74,446,457,11,11,0
S02,P007,Budget,368,74,442,347,-95,0,95
S02,P008,Budget,371,74,445,526,81,81,0
S02,P009,Budget,372,74,446,332,-114,0,114
S02,P010,Budget,370,74,444,574,130,130,0
S02,P011,Budget,372,74,446,519,73,73,0
S02,P012,Budget,372,74,446,365,-81,0,81
S02,P013,Budget,372,74,446,314,-132,0,132
S02,P014,Budget,372,74,446,530,84,84,0
S02,P015,Budget,371,74,445,500,55,55,0
S02,P016,Budget,372,74,446,507,61,61,0
S02,P017,Budget,372,74,446,519,73,73,0
S02,P018,Budget,372,74,446,332,-114,0,114
S02,P019,Budget,372,74,446,408,-38,0,38
S02,P020,Budget,372,74,446,343,-103,0,103
S02,P021,Mid-range,186,37,223,272,49,49,0
S02,P022,Mid-range,372,74,446,479,33,33,0
S02,P023,Mid-range,186,37,223,200,-23,0,23
S02,P024,Mid-range,372,74,446,329,-117,0,117
S02,P025,Mid-range,186,37,223,198,-25,0,25
S02,P026,Mid-range,372,74,446,399,-47,0,47
S02,P027,Mid-range,373,75,448,510,62,62,0
S02,P028,Mid-range,372,74,446,483,37,37,0
S02,P029,Mid-range,372,74,446,550,104,104,0
S02,P030,Mid-range,373,75,448,441,-7,0,7
S02,P031,Mid-range,373,75,448,346,-102,0,102
S02,P032,Mid-range,375,75,450,508,58,58,0
S02,P033,Mid-range,373,75,448,518,70,70,0
S02,P034,Mid-range,372,74,446,462,16,16,0
S02,P035,Mid-range,372,74,446,519,73,73,0
S02,P036,Mid-range,373,75,448,446,-2,0,2
S02,P037,Mid-range,372,74,446,452,6,6,0
S02,P038,Mid-range,373,75,448,429,-19,0,19
S02,P039,Mid-range,372,74,446,319,-127,0,127
S02,P040,Mid-range,372,74,446,341,-105,0,105
S02,P041,Premium,243,49,292,210,-82,0,82
S02,P042,Premium,256,51,307,332,25,25,0
S02,P043,Premium,124,25,149,132,-17,0,17
S02,P044,Premium,255,51,306,308,2,2,0
S02,P045,Premium,252,50,302,376,74,74,0
S02,P046,Premium,256,51,307,261,-46,0,46
S02,P047,Premium,254,51,305,289,-16,0,16
S02,P048,Premium,255,51,306,353,47,47,0
S02,P049,Premium,255,51,306,256,-50,0,50
S02,P050,Premium,256,51,307,229,-78,0,78
S02,P051,Premium,255,51,306,267,-39,0,39
S02,P052,Premium,255,51,306,244,-62,0,62
S02,P053,Flagship,81,16,97,122,25,25,0
S02,P054,Flagship,187,37,224,265,41,41,0
S02,P055,Flagship,78,16,94,102,8,8,0
S02,P056,Flagship,187,37,224,274,50,50,0
S02,P057,Flagship,157,31,188,222,34,34,0
S02,P058,Flagship,187,37,224,182,-42,0,42
S02,P059,Flagship,187,37,224,277,53,53,0
S02,P060,Flagship,187,37,224,229,5,5,0
S03,P001,Budget,258,52,310,367,57,57,0
S03,P002,Budget,558,112,670,829,159,159,0
S03,P003,Budget,271,54,325,290,-35,0,35
S03,P004,Budget,558,112,670,513,-157,0,157
S03,P005,Budget,411,82,493,413,-80,0,80
S03,P006,Budget,558,112,670,641,-29,0,29
S03,P007,Budget,558,112,670,798,128,128,0
S03,P008,Budget,558,112,670,815,145,145,0
S03,P009,Budget,558,112,670,472,-198,0,198
S03,P010,Budget,558,112,670,674,4,4,0
S03,P011,Budget,558,112,670,637,-33,0,33
S03,P012,Budget,558,112,670,558,-112,0,112
S03,P013,Budget,557,111,668,516,-152,0,152
S03,P014,Budget,558,112,670,605,-65,0,65
S03,P015,Budget,558,112,670,848,178,178,0
S03,P016,Budget,558,112,670,599,-71,0,71
S03,P017,Budget,558,112,670,678,8,8,0
S03,P018,Budget,558,112,670,752,82,82,0
S03,P019,Budget,558,112,670,615,-55,0,55
S03,P020,Budget,558,112,670,860,190,190,0
S03,P021,Mid-range,255,51,306,391,85,85,0
S03,P022,Mid-range,499,100,599,510,-89,0,89
S03,P023,Mid-range,255,51,306,305,-1,0,1
S03,P024,Mid-range,499,100,599,527,-72,0,72
S03,P025,Mid-range,257,51,308,268,-40,0,40
S03,P026,Mid-range,499,100,599,433,-166,0,166
S03,P027,Mid-range,501,100,601,641,40,40,0
S03,P028,Mid-range,499,100,599,600,1,1,0
S03,P029,Mid-range,500,100,600,439,-161,0,161
S03,P030,Mid-range,499,100,599,519,-80,0,80
S03,P031,Mid-range,500,100,600,747,147,147,0
S03,P032,Mid-range,499,100,599,505,-94,0,94
S03,P033,Mid-range,500,100,600,472,-128,0,128
S03,P034,Mid-range,499,100,599,595,-4,0,4
S03,P035,Mid-range,500,100,600,775,175,175,0
S03,P036,Mid-range,499,100,599,506,-93,0,93
S03,P037,Mid-range,502,100,602,664,62,62,0
S03,P038,Mid-range,498,100,598,692,94,94,0
S03,P039,Mid-range,504,101,605,510,-95,0,95
S03,P040,Mid-range,499,100,599,681,82,82,0
S03,P041,Premium,167,33,200,184,-16,0,16
S03,P042,Premium,190,38,228,246,18,18,0
S03,P043,Premium,68,14,82,89,7,7,0
S03,P044,Premium,191,38,229,234,5,5,0
S03,P045,Premium,190,38,228,172,-56,0,56
S03,P046,Premium,191,38,229,275,46,46,0
S03,P047,Premium,191,38,229,204,-25,0,25
S03,P048,Premium,190,38,228,185,-43,0,43
S03,P049,Premium,192,38,230,167,-63,0,63
S03,P050,Premium,190,38,228,240,12,12,0
S03,P051,Premium,190,38,228,252,24,24,0
S03,P052,Premium,190,38,228,162,-66,0,66
S03,P053,Flagship,62,12,74,75,1,1,0
S03,P054,Flagship,63,13,76,64,-12,0,12
S03,P055,Flagship,62,12,74,80,6,6,0
S03,P056,Flagship,63,13,76,61,-15,0,15
S03,P057,Flagship,63,13,76,85,9,9,0
S03,P058,Flagship,63,13,76,71,-5,0,5
S03,P059,Flagship,63,13,76,96,20,20,0
S03,P060,Flagship,63,13,76,59,-17,0,17
S04,P001,Budget,187,37,224,203,-21,0,21
S04,P002,Budget,371,74,445,342,-103,0,103
S04,P003,Budget,186,37,223,280,57,57,0
S04,P004,Budget,372,74,446,547,101,101,0
S04,P005,Budget,264,53,317,271,-46,0,46
S04,P006,Budget,372,74,446,489,43,43,0
S04,P007,Budget,370,74,444,529,85,85,0
S04,P008,Budget,372,74,446,461,15,15,0
S04,P009,Budget,372,74,446,454,8,8,0
S04,P010,Budget,371,74,445,376,-69,0,69
S04,P011,Budget,372,74,446,337,-109,0,109
S04,P012,Budget,372,74,446,552,106,106,0
S04,P013,Budget,372,74,446,553,107,107,0
S04,P014,Budget,372,74,446,482,36,36,0
S04,P015,Budget,372,74,446,403,-43,0,43
S04,P016,Budget,372,74,446,406,-40,0,40
S04,P017,Budget,371,74,445,505,60,60,0
S04,P018,Budget,370,74,444,550,106,106,0
S04,P019,Budget,372,74,446,550,104,104,0
S04,P020,Budget,372,74,446,521,75,75,0
S04,P021,Mid-range,187,37,224,243,19,19,0
S04,P022,Mid-range,372,74,446,335,-111,0,111
S04,P023,Mid-range,186,37,223,178,-45,0,45
S04,P024,Mid-range,372,74,446,553,107,107,0
S04,P025,Mid-range,186,37,223,237,14,14,0
S04,P026,Mid-range,372,74,446,315,-131,0,131
S04,P027,Mid-range,372,74,446,339,-107,0,107
S04,P028,Mid-range,372,74,446,490,44,44,0
S04,P029,Mid-range,372,74,446,314,-132,0,132
S04,P030,Mid-range,372,74,446,355,-91,0,91
S04,P031,Mid-range,372,74,446,459,13,13,0
S04,P032,Mid-range,372,74,446,497,51,51,0
S04,P033,Mid-range,372,74,446,487,41,41,0
S04,P034,Mid-range,372,74,446,372,-74,0,74
S04,P035,Mid-range,372,74,446,503,57,57,0
S04,P036,Mid-range,372,74,446,376,-70,0,70
S04,P037,Mid-range,372,74,446,399,-47,0,47
S04,P038,Mid-range,372,74,446,512,66,66,0
S04,P039,Mid-range,372,74,446,486,40,40,0
S04,P040,Mid-range,372,74,446,539,93,93,0
S04,P041,Premium,233,47,280,306,26,26,0
S04,P042,Premium,255,51,306,319,13,13,0
S04,P043,Premium,124,25,149,113,-36,0,36
S04,P044,Premium,255,51,306,282,-24,0,24
S04,P045,Premium,254,51,305,262,-43,0,43
S04,P046,Premium,255,51,306,259,-47,0,47
S04,P047,Premium,255,51,306,393,87,87,0
S04,P048,Premium,255,51,306,286,-20,0,20
S04,P049,Premium,261,52,313,387,74,74,0
S04,P050,Premium,255,51,306,330,24,24,0
S04,P051,Premium,256,51,307,361,54,54,0
S04,P052,Premium,255,51,306,306,0,0,0
S04,P053,Flagship,76,15,91,95,4,4,0
S04,P054,Flagship,188,38,226,225,-1,0,1
S04,P055,Flagship,98,20,118,96,-22,0,22
S04,P056,Flagship,187,37,224,254,30,30,0
S04,P057,Flagship,161,32,193,168,-25,0,25
S04,P058,Flagship,187,37,224,160,-64,0,64
S04,P059,Flagship,187,37,224,244,20,20,0
S04,P060,Flagship,187,37,224,181,-43,0,43
S05,P001,Budget,260,52,312,394,82,82,0
S05,P002,Budget,558,112,670,852,182,182,0
S05,P003,Budget,272,54,326,407,81,81,0
S05,P004,Budget,558,112,670,618,-52,0,52
S05,P005,Budget,419,84,503,357,-146,0,146
S05,P006,Budget,558,112,670,842,172,172,0
S05,P007,Budget,558,112,670,641,-29,0,29
S05,P008,Budget,558,112,670,858,188,188,0
S05,P009,Budget,558,112,670,856,186,186,0
S05,P010,Budget,566,113,679,823,144,144,0
S05,P011,Budget,558,112,670,587,-83,0,83
