model_id,from_store,to_store,transfer_quantity
P001,S03,S01,17
P001,S03,S02,15
P001,S03,S04,21
P001,S03,S06,4
P001,S05,S06,56
P001,S05,S07,21
P001,S05,S11,5
P001,S08,S11,54
P001,S09,S11,24
P001,S10,S11,9
P001,S10,S12,39
P001,S10,S15,37
P001,S13,S15,54
P001,S13,S16,27
P001,S14,S16,51
P001,S14,S17,4
P001,S18,S17,53
P001,S19,S17,59
P001,S19,S22,18
P001,S20,S22,44
P001,S20,S23,48
P001,S20,S24,2
P001,S21,S24,60
P002,S01,S02,61
P002,S01,S04,60
P002,S03,S04,43
P002,S03,S11,116
P002,S05,S11,4
P002,S05,S13,128
P002,S05,S16,50
P002,S06,S16,8
P002,S07,S16,58
P002,S08,S16,116
P002,S09,S16,25
P002,S09,S18,54
P002,S10,S18,43
P002,S12,S18,13
P002,S12,S19,223
P002,S12,S20,28
P002,S14,S20,23
P002,S15,S20,32
P002,S15,S21,34
P002,S17,S21,56
P002,S22,S21,162
P003,S01,S03,31
P003,S02,S03,4
P003,S02,S07,8
P003,S02,S08,32
P003,S04,S08,44
P003,S04,S09,9
P003,S04,S10,4
P003,S05,S10,47
P003,S05,S11,34
P003,S06,S11,5
P003,S12,S11,28
P003,S18,S11,19
P003,S18,S13,89
P003,S18,S14,7
P003,S20,S14,48
P003,S23,S14,11
P003,S23,S15,61
P003,S24,S15,2
P003,S24,S16,86
P003,S25,S17,46
P004,S01,S02,26
P004,S04,S02,12
P004,S04,S03,89
P004,S06,S03,37
P004,S07,S03,18
P004,S09,S03,13
P004,S09,S05,38
P004,S10,S05,14
P004,S10,S08,2
P004,S10,S11,53
P004,S13,S11,97
P004,S15,S11,73
P004,S15,S12,112
P004,S16,S12,31
P004,S16,S14,14
P004,S18,S14,70
P004,S18,S17,60
P004,S18,S21,96
P004,S18,S22,24
P004,S18,S23,6
P004,S19,S23,107
P004,S19,S24,97
P004,S19,S25,2
P004,S20,S25,29
P005,S06,S01,43
P005,S07,S01,22
P005,S07,S02,41
P005,S07,S03,67
P005,S09,S03,13
P005,S09,S04,12
P005,S10,S04,34
P005,S10,S05,1
P005,S13,S05,22
P005,S18,S05,123
P005,S18,S08,43
P005,S19,S08,89
P005,S19,S11,79
P005,S23,S11,64
P005,S23,S12,78
P005,S24,S12,46
P005,S25,S12,22
P005,S25,S14,114
P006,S02,S01,11
P006,S04,S01,43
P006,S05,S01,38
P006,S05,S03,29
P006,S05,S07,46
P006,S05,S10,57
P006,S05,S11,2
P006,S06,S11,19
P006,S06,S12,108
P006,S08,S12,20
P006,S09,S12,60
P006,S09,S15,34
P006,S09,S17,67
P006,S13,S17,11
P006,S13,S18,14
P006,S13,S19,18
P006,S13,S22,94
P006,S14,S22,138
P006,S14,S23,66
P006,S14,S24,18
P006,S16,S24,52
P006,S16,S25,161
P006,S20,S25,14
P007,S03,S01,118
P007,S03,S02,10
P007,S04,S02,85
P007,S06,S05,4
P007,S07,S05,25
P007,S07,S08,24
P007,S07,S09,136
P007,S14,S09,45
P007,S16,S09,2
P007,S16,S10,155
P007,S16,S11,16
P007,S17,S11,119
P007,S18,S11,24
P007,S18,S12,138
P007,S18,S13,35
P007,S19,S13,62
P007,S20,S13,48
P007,S20,S15,114
P007,S21,S15,53
P007,S21,S22,47
P007,S24,S22,11
P007,S24,S23,99
P007,S25,S23,29
P008,S01,S06,47
P008,S01,S09,51
P008,S02,S09,37
P008,S02,S11,44
P008,S03,S11,30
P008,S03,S12,115
P008,S04,S12,15
P008,S05,S12,54
P008,S05,S14,54
P008,S05,S16,80
P008,S07,S16,6
P008,S07,S17,110
P008,S07,S19,47
P008,S08,S19,134
P008,S08,S21,22
P008,S10,S21,7
P008,S10,S22,11
P008,S10,S24,51
P008,S13,S24,97
P009,S01,S02,27
P009,S04,S02,8
P009,S05,S02,79
P009,S05,S03,107
P009,S06,S03,79
P009,S09,S03,12
P009,S09,S07,122
P009,S09,S08,47
P009,S10,S08,8
P009,S11,S08,2
P009,S15,S08,1
P009,S17,S08,2
P009,S17,S12,34
P009,S19,S12,136
P009,S19,S13,120
P009,S19,S14,11
P009,S20,S14,10
P009,S20,S16,131
P009,S20,S18,49
P009,S22,S18,49
P009,S22,S21,5
P009,S23,S21,64
P009,S24,S21,54
P010,S01,S04,55
P010,S02,S04,14
P010,S02,S06,61
P010,S02,S07,55
P010,S03,S07,4
P010,S05,S07,114
P010,S05,S08,30
P010,S09,S08,124
P010,S09,S12,33
P010,S10,S12,84
P010,S10,S13,25
P010,S11,S13,103
P010,S14,S13,7
P010,S14,S16,65
P010,S14,S17,13
P010,S14,S19,146
P010,S14,S22,12
P010,S15,S22,38
P010,S18,S22,63
P010,S18,S23,1
P010,S18,S24,19
P011,S02,S01,73
P011,S10,S01,8
P011,S16,S01,47
P011,S16,S03,2
P011,S17,S03,31
P011,S17,S04,58
P011,S19,S04,51
P011,S19,S05,83
P011,S19,S06,16
P011,S19,S07,91
P011,S20,S07,69
P011,S20,S08,44
P011,S22,S08,100
P011,S22,S09,6
P011,S23,S09,12
P011,S23,S11,10
P012,S01,S02,81
P012,S01,S03,45
P012,S04,S03,67
P012,S04,S05,39
P012,S08,S05,7
P012,S08,S06,98
P012,S09,S06,15
P012,S09,S07,33
P012,S10,S07,142
P012,S11,S07,19
P012,S11,S16,126
P012,S11,S21,18
P012,S12,S21,8
P012,S12,S24,171
P013,S01,S02,89
P013,S04,S02,43
P013,S04,S03,64
P013,S05,S03,88
