store_id,model_id,segment,forecast_demand,safety_stock,recommended_inventory
S01,P001,Budget,187,37,224
S01,P002,Budget,372,74,446
S01,P003,Budget,187,37,224
S01,P004,Budget,372,74,446
S01,P005,Budget,264,53,317
S01,P006,Budget,372,74,446
S01,P007,Budget,372,74,446
S01,P008,Budget,372,74,446
S01,P009,Budget,372,74,446
S01,P010,Budget,370,74,444
S01,P011,Budget,372,74,446
S01,P012,Budget,372,74,446
S01,P013,Budget,372,74,446
S01,P014,Budget,372,74,446
S01,P015,Budget,372,74,446
S01,P016,Budget,372,74,446
S01,P017,Budget,372,74,446
S01,P018,Budget,372,74,446
S01,P019,Budget,372,74,446
S01,P020,Budget,372,74,446
S01,P021,Mid-range,186,37,223
S01,P022,Mid-range,375,75,450
S01,P023,Mid-range,184,37,221
S01,P024,Mid-range,372,74,446
S01,P025,Mid-range,187,37,224
S01,P026,Mid-range,375,75,450
S01,P027,Mid-range,374,75,449
S01,P028,Mid-range,374,75,449
S01,P029,Mid-range,374,75,449
S01,P030,Mid-range,372,74,446
S01,P031,Mid-range,373,75,448
S01,P032,Mid-range,373,75,448
S01,P033,Mid-range,373,75,448
S01,P034,Mid-range,374,75,449
S01,P035,Mid-range,373,75,448
S01,P036,Mid-range,374,75,449
S01,P037,Mid-range,373,75,448
S01,P038,Mid-range,372,74,446
S01,P039,Mid-range,373,75,448
S01,P040,Mid-range,374,75,449
S01,P041,Premium,234,47,281
S01,P042,Premium,255,51,306
S01,P043,Premium,124,25,149
S01,P044,Premium,254,51,305
S01,P045,Premium,254,51,305
S01,P046,Premium,256,51,307
S01,P047,Premium,255,51,306
S01,P048,Premium,255,51,306
S01,P049,Premium,255,51,306
S01,P050,Premium,256,51,307
S01,P051,Premium,255,51,306
S01,P052,Premium,255,51,306
S01,P053,Flagship,68,14,82
S01,P054,Flagship,187,37,224
S01,P055,Flagship,90,18,108
S01,P056,Flagship,187,37,224
S01,P057,Flagship,157,31,188
S01,P058,Flagship,187,37,224
S01,P059,Flagship,187,37,224
S01,P060,Flagship,187,37,224
S02,P001,Budget,187,37,224
S02,P002,Budget,372,74,446
S02,P003,Budget,187,37,224
S02,P004,Budget,372,74,446
S02,P005,Budget,262,52,314
S02,P006,Budget,372,74,446
S02,P007,Budget,368,74,442
S02,P008,Budget,371,74,445
S02,P009,Budget,372,74,446
S02,P010,Budget,370,74,444
S02,P011,Budget,372,74,446
S02,P012,Budget,372,74,446
S02,P013,Budget,372,74,446
S02,P014,Budget,372,74,446
S02,P015,Budget,371,74,445
S02,P016,Budget,372,74,446
S02,P017,Budget,372,74,446
S02,P018,Budget,372,74,446
S02,P019,Budget,372,74,446
S02,P020,Budget,372,74,446
S02,P021,Mid-range,186,37,223
S02,P022,Mid-range,372,74,446
S02,P023,Mid-range,186,37,223
S02,P024,Mid-range,372,74,446
S02,P025,Mid-range,186,37,223
S02,P026,Mid-range,372,74,446
S02,P027,Mid-range,373,75,448
S02,P028,Mid-range,372,74,446
S02,P029,Mid-range,372,74,446
S02,P030,Mid-range,373,75,448
S02,P031,Mid-range,373,75,448
S02,P032,Mid-range,375,75,450
S02,P033,Mid-range,373,75,448
S02,P034,Mid-range,372,74,446
S02,P035,Mid-range,372,74,446
S02,P036,Mid-range,373,75,448
