store_id,model_id,segment,forecast_demand,safety_stock,recommended_inventory,current_inventory,inventory_gap,excess_inventory,shortage_inventory,recommendation
S01,P001,Budget,187,37,224,207,-17,0,17,NORMAL
S01,P003,Budget,187,37,224,255,31,31,0,MARKDOWN
S01,P005,Budget,264,53,317,252,-65,0,65,NORMAL
S01,P021,Mid-range,186,37,223,238,15,15,0,MARKDOWN
S01,P023,Mid-range,184,37,221,193,-28,0,28,NORMAL
S01,P025,Mid-range,187,37,224,218,-6,0,6,NORMAL
S01,P041,Premium,234,47,281,217,-64,0,64,NORMAL
S01,P043,Premium,124,25,149,107,-42,0,42,NORMAL
S01,P053,Flagship,68,14,82,104,22,22,0,MARKDOWN
S01,P055,Flagship,90,18,108,114,6,6,0,MARKDOWN
S01,P057,Flagship,157,31,188,142,-46,0,46,NORMAL
S02,P001,Budget,187,37,224,209,-15,0,15,NORMAL
S02,P003,Budget,187,37,224,268,44,44,0,MARKDOWN
S02,P005,Budget,262,52,314,273,-41,0,41,NORMAL
S02,P021,Mid-range,186,37,223,272,49,49,0,MARKDOWN
S02,P023,Mid-range,186,37,223,200,-23,0,23,NORMAL
S02,P025,Mid-range,186,37,223,198,-25,0,25,NORMAL
S02,P041,Premium,243,49,292,210,-82,0,82,NORMAL
S02,P043,Premium,124,25,149,132,-17,0,17,NORMAL
S02,P053,Flagship,81,16,97,122,25,25,0,MARKDOWN
S02,P055,Flagship,78,16,94,102,8,8,0,MARKDOWN
S02,P057,Flagship,157,31,188,222,34,34,0,MARKDOWN
S03,P001,Budget,258,52,310,367,57,57,0,MARKDOWN
S03,P003,Budget,271,54,325,290,-35,0,35,NORMAL
S03,P005,Budget,411,82,493,413,-80,0,80,NORMAL
S03,P021,Mid-range,255,51,306,391,85,85,0,MARKDOWN
S03,P023,Mid-range,255,51,306,305,-1,0,1,NORMAL
S03,P025,Mid-range,257,51,308,268,-40,0,40,NORMAL
S03,P041,Premium,167,33,200,184,-16,0,16,NORMAL
