model_id,total_required_inventory
P001,9023
P002,18438
P003,9058
P004,18436
P005,13097
P006,18420
P007,18434
P008,18431
P009,18435
P010,18436
P011,18438
P012,18440
P013,18433
P014,18439
P015,18432
P016,18440
P017,18439
P018,18437
P019,18418
P020,18441
P021,6438
P022,13485
P023,6447
P024,13484
P025,6440
P026,13467
P027,13484
P028,13476
P029,13515
P030,13487
P031,13519
P032,13440
P033,13497
P034,13489
P035,13463
P036,13494
P037,13523
P038,13490
P039,13461
P040,13467
P041,4625
P042,5145
P043,2397
P044,5149
P045,5138
P046,5158
P047,5144
P048,5145
P049,5162
P050,5153
P051,5146
P052,5144
P053,1698
P054,2487
P055,1780
P056,2480
P057,2269
P058,2479
P059,2480
P060,2474
