model_id,model_name,price,segment,launch_date,successor_model
P014,Mobi BU 14,10206,Budget,2025-01-13,
P038,Mobi MI 18,20282,Mid-range,2025-01-20,
P050,Mobi PR 10,47926,Premium,2025-01-26,
P029,Mobi MI 9,27143,Mid-range,2025-02-04,
P012,Mobi BU 12,10340,Budget,2025-02-11,
P056,Mobi FL 4,146173,Flagship,2025-03-14,
P059,Mobi FL 7,132723,Flagship,2025-03-16,
P053,Mobi FL 1,78449,Flagship,2025-03-20,P054
P024,Mobi MI 4,26314,Mid-range,2025-03-24,
P004,Mobi BU 4,9027,Budget,2025-03-25,
P040,Mobi MI 20,20298,Mid-range,2025-04-05,
P047,Mobi PR 7,54136,Premium,2025-04-06,
P039,Mobi MI 19,25858,Mid-range,2025-04-17,
P041,Mobi PR 1,60034,Premium,2025-05-12,P042
P045,Mobi PR 5,50412,Premium,2025-05-20,
P048,Mobi PR 8,67839,Premium,2025-06-03,
P016,Mobi BU 16,14265,Budget,2025-06-07,
P010,Mobi BU 10,14758,Budget,2025-06-14,
P013,Mobi BU 13,14412,Budget,2025-06-25,
P055,Mobi FL 3,106142,Flagship,2025-07-08,P056
P020,Mobi BU 20,14255,Budget,2025-07-21,
P007,Mobi BU 7,8784,Budget,2025-07-26,
P034,Mobi MI 14,24060,Mid-range,2025-07-31,
P037,Mobi MI 17,26798,Mid-range,2025-08-02,
P049,Mobi PR 9,44927,Premium,2025-08-13,
P027,Mobi MI 7,27330,Mid-range,2025-08-18,
P043,Mobi PR 3,52204,Premium,2025-08-29,P044
P008,Mobi BU 8,6271,Budget,2025-09-05,
P019,Mobi BU 19,8064,Budget,2025-09-21,
P003,Mobi BU 3,7154,Budget,2025-09-24,P004
P035,Mobi MI 15,26927,Mid-range,2025-09-29,
P009,Mobi BU 9,9061,Budget,2025-10-17,
P005,Mobi BU 5,6752,Budget,2025-10-21,P006
P017,Mobi BU 17,8394,Budget,2025-11-26,
P033,Mobi MI 13,26693,Mid-range,2025-12-11,
P025,Mobi MI 5,21573,Mid-range,2025-12-18,P026
P023,Mobi MI 3,24663,Mid-range,2025-12-25,P024
P051,Mobi PR 11,61101,Premium,2025-12-30,
P028,Mobi MI 8,16173,Mid-range,2026-02-11,
P031,Mobi MI 11,24755,Mid-range,2026-02-15,
P036,Mobi MI 16,20355,Mid-range,2026-02-21,
P060,Mobi FL 8,107526,Flagship,2026-02-25,
P054,Mobi FL 2,101024,Flagship,2026-02-27,
P002,Mobi BU 2,11544,Budget,2026-06-14,
P018,Mobi BU 18,14913,Budget,2026-03-31,
P046,Mobi PR 6,38193,Premium,2026-04-11,
P022,Mobi MI 2,27186,Mid-range,2026-04-16,
P032,Mobi MI 12,20596,Mid-range,2026-04-18,
P030,Mobi MI 10,15685,Mid-range,2026-04-19,
P026,Mobi MI 6,20310,Mid-range,2026-04-21,
P057,Mobi FL 5,147562,Flagship,2026-04-22,P058
P001,Mobi BU 1,14634,Budget,2026-05-07,P002
P052,Mobi PR 12,57176,Premium,2026-05-14,
P021,Mobi MI 1,23957,Mid-range,2026-05-24,P022
P058,Mobi FL 6,112806,Flagship,2026-08-13,
P015,Mobi BU 15,11088,Budget,2026-06-14,
P042,Mobi PR 2,69386,Premium,2026-08-17,
P044,Mobi PR 4,65718,Premium,2026-05-12,
P006,Mobi BU 6,11014,Budget,2026-07-22,
P011,Mobi BU 11,12047,Budget,2026-07-26,
