date,store_id,model_id,units_sold,selling_price,revenue
2025-09-01,S01,P014,7,10206,71442
2025-09-01,S01,P038,5,20282,101410
2025-09-01,S01,P050,5,47926,239630
2025-09-01,S01,P029,5,27143,135715
2025-09-01,S01,P012,5,10340,51700
2025-09-01,S01,P056,3,146173,438519
2025-09-01,S01,P059,3,132723,398169
2025-09-01,S01,P053,2,78449,156898
2025-09-01,S01,P024,5,26314,131570
2025-09-01,S01,P004,5,9027,45135
2025-09-01,S01,P040,6,20298,121788
2025-09-01,S01,P047,4,54136,216544
2025-09-01,S01,P039,7,25858,181006
2025-09-01,S01,P041,4,60034,240136
2025-09-01,S01,P045,5,50412,252060
2025-09-01,S01,P048,4,67839,271356
2025-09-01,S01,P016,5,14265,71325
2025-09-01,S01,P010,6,14758,88548
2025-09-01,S01,P013,6,14412,86472
2025-09-01,S01,P055,2,106142,212284
2025-09-01,S01,P020,6,14255,85530
2025-09-01,S01,P007,5,8784,43920
2025-09-01,S01,P034,7,24060,168420
2025-09-01,S01,P037,6,26798,160788
2025-09-01,S01,P049,5,44927,224635
2025-09-01,S01,P027,6,27330,163980
2025-09-01,S01,P043,4,52204,208816
2025-09-01,S01,P008,6,6271,37626
2025-09-01,S01,P019,7,8064,56448
2025-09-01,S01,P003,3,7154,21462
2025-09-01,S01,P035,5,26927,134635
2025-09-01,S01,P009,6,9061,54366
2025-09-01,S01,P005,5,6752,33760
2025-09-01,S01,P017,5,8394,41970
2025-09-01,S01,P033,7,26693,186851
2025-09-01,S01,P025,5,21573,107865
2025-09-01,S01,P023,3,24663,73989
2025-09-01,S01,P051,4,61101,244404
2025-09-01,S01,P028,6,16173,97038
2025-09-01,S01,P031,6,24755,148530
2025-09-01,S01,P036,7,20355,142485
2025-09-01,S01,P060,3,107526,322578
2025-09-01,S01,P054,4,101024,404096
2025-09-01,S01,P002,6,11544,69264
2025-09-01,S01,P018,5,14913,74565
2025-09-01,S01,P046,4,38193,152772
2025-09-01,S01,P022,7,27186,190302
2025-09-01,S01,P032,5,20596,102980
2025-09-01,S01,P030,7,15685,109795
2025-09-01,S01,P026,5,20310,101550
2025-09-01,S01,P057,3,147562,442686
2025-09-01,S01,P001,6,14634,87804
2025-09-01,S01,P052,4,57176,228704
2025-09-01,S01,P021,6,23957,143742
2025-09-01,S01,P058,2,112806,225612
2025-09-01,S01,P015,5,11088,55440
2025-09-01,S01,P042,4,69386,277544
2025-09-01,S01,P044,5,65718,328590
2025-09-01,S01,P006,5,11014,55070
2025-09-01,S01,P011,6,12047,72282
2025-09-01,S02,P014,5,10206,51030
2025-09-01,S02,P038,7,20282,141974
2025-09-01,S02,P050,3,47926,143778
2025-09-01,S02,P029,6,27143,162858
2025-09-01,S02,P012,5,10340,51700
2025-09-01,S02,P056,3,146173,438519
2025-09-01,S02,P059,3,132723,398169
2025-09-01,S02,P053,2,78449,156898
2025-09-01,S02,P024,7,26314,184198
2025-09-01,S02,P004,5,9027,45135
2025-09-01,S02,P040,7,20298,142086
2025-09-01,S02,P047,4,54136,216544
2025-09-01,S02,P039,7,25858,181006
2025-09-01,S02,P041,4,60034,240136
2025-09-01,S02,P045,5,50412,252060
2025-09-01,S02,P048,4,67839,271356
2025-09-01,S02,P016,6,14265,85590
2025-09-01,S02,P010,6,14758,88548
2025-09-01,S02,P013,5,14412,72060
2025-09-01,S02,P055,1,106142,106142
2025-09-01,S02,P020,5,14255,71275
2025-09-01,S02,P007,5,8784,43920
2025-09-01,S02,P034,6,24060,144360
2025-09-01,S02,P037,6,26798,160788
2025-09-01,S02,P049,4,44927,179708
2025-09-01,S02,P027,7,27330,191310
2025-09-01,S02,P043,5,52204,261020
2025-09-01,S02,P008,6,6271,37626
2025-09-01,S02,P019,6,8064,48384
2025-09-01,S02,P003,3,7154,21462
2025-09-01,S02,P035,6,26927,161562
2025-09-01,S02,P009,5,9061,45305
2025-09-01,S02,P005,6,6752,40512
2025-09-01,S02,P017,6,8394,50364
2025-09-01,S02,P033,7,26693,186851
2025-09-01,S02,P025,6,21573,129438
2025-09-01,S02,P023,2,24663,49326
2025-09-01,S02,P051,5,61101,305505
